id,name,label,imagedescription,imageURL
I0001,水稻条纹叶枯病图1,图像,黄绿相间的条纹状病斑,/static/images/I0001.jpg
I0002,稻瘟病图1,图像,"感病前期，叶片褐色病斑形状大小不一",/static/images/I0002.jpg
I0003,稻瘟病图2,图像,"感病后期，叶片浅色至枯黄的病斑或坏死条纹",/static/images/I0003.jpg
I0004,稻瘟病图3,图像,稻瘟病稻田全景图,/static/images/I0004.jpg
I0005,稻瘟病图4,图像,稻瘟病稻田全景图,/static/images/I0005.jpg
I0006,稻瘟病图5,图像,"穗谷有青灰色霉状物和茎秆上无虫蛀痕迹",/static/images/I0006.jpg
I0007,稻瘟病图6,图像,"晚稻秧田，秧苗变褐枯死",/static/images/I0007.jpg
I0008,稻瘟病图7,图像,"节间产生长条状黑褐色病班",/static/images/I0008.jpg
I0009,灰梨孢菌微观图,图像,稻瘟病病原菌微观图,/static/images/I0009.jpg
I0010,褐飞虱的卵,图像,"卵粒呈香蕉型，产在水稻叶鞘和叶片组织内，排成一条卵条，卵粒多单行排列。初产时乳白色，渐变淡黄至锈褐色，还会出现红色眼点。",/static/images/I0010.jpg
I0011,褐飞虱的若虫,图像,"体黄白色，腹部背面有倒凸形浅色斑纹，后胸显著长于前、中胸，中、后胸后缘平直，无翅芽。",/static/images/I0011.jpg
I0012,褐飞虱的成虫,图像,"有长翅和短翅两型。全体褐色，有光泽。",/static/images/I0012.jpg
I0013,河北省的地图,图像,河北省的地图,/static/images/I0013.jpg
I0014,辽宁省的地图,图像,辽宁省的地图,/static/images/I0014.jpg
I0015,吉林省的地图,图像,吉林省的地图,/static/images/I0015.jpg
I0016,黑龙江省的地图,图像,黑龙江省的地图,/static/images/I0016.jpg
I0017,山东省的地图,图像,山东省的地图,/static/images/I0017.jpg
I0018,江苏省的地图,图像,江苏省的地图,/static/images/I0018.jpg
I0019,浙江省的地图,图像,浙江省的地图,/static/images/I0019.jpg
I0020,安徽省的地图,图像,安徽省的地图,/static/images/I0020.jpg
I0021,福建省的地图,图像,福建省的地图,/static/images/I0021.jpg
I0022,江西省的地图,图像,江西省的地图,/static/images/I0022.jpg
I0023,广东省的地图,图像,广东省的地图,/static/images/I0023.jpg
I0024,广西省的地图,图像,广西省的地图,/static/images/I0024.jpg
I0025,海南省的地图,图像,海南省的地图,/static/images/I0025.jpg
I0026,河南省的地图,图像,河南省的地图,/static/images/I0026.jpg
I0027,湖南省的地图,图像,湖南省的地图,/static/images/I0027.jpg
I0028,湖北省的地图,图像,湖北省的地图,/static/images/I0028.jpg
I0029,山西省的地图,图像,山西省的地图,/static/images/I0029.jpg
I0030,内蒙古自治区的地图,图像,内蒙古自治区的地图,/static/images/I0030.jpg
I0031,宁夏回族自治区的地图,图像,宁夏回族自治区的地图,/static/images/I0031.jpg
I0032,青海省的地图,图像,青海省的地图,/static/images/I0032.jpg
I0033,陕西省的地图,图像,陕西省的地图,/static/images/I0033.jpg
I0034,甘肃省的地图,图像,甘肃省的地图,/static/images/I0034.jpg
I0035,新疆维吾尔自治区的地图,图像,新疆维吾尔自治区的地图,/static/images/I0035.jpg
I0036,四川省的地图,图像,四川省的地图,/static/images/I0036.jpg
I0037,贵州省的地图,图像,贵州省的地图,/static/images/I0037.jpg
I0038,云南省的地图,图像,云南省的地图,/static/images/I0038.jpg
I0039,重庆市的地图,图像,重庆市的地图,/static/images/I0039.jpg
I0040,西藏自治区的地图,图像,西藏自治区的地图,/static/images/I0040.jpg
I0041,台湾省的地图,图像,台湾省的地图,/static/images/I0041.jpg
I0042,北京市的地图,图像,北京市的地图,/static/images/I0042.jpg
I0043,天津市的地图,图像,天津市的地图,/static/images/I0043.jpg
I0044,上海市的地图,图像,上海市的地图,/static/images/I0044.jpg
