id,name,label,hasScientificName,character
BY001,灰梨孢菌,病原体,"Pyricularia oryzae Cav.","菌丝：无色透明，丝状，有隔膜。分生孢子：无色透明，鸭梨形或慈姑形"
BY002,水稻条纹叶枯病毒,病原体,"Rice stripe virus","病毒粒子丝状，大小400×8nm，分散于细胞质、液泡和核内，或成颗粒状、砂状等不定形集块，即内含体，似有许多丝状体纠缠而成团。"
BY003,瓜亡革菌,病原体,"Thanatephorus cucumeris (Frank) Donk","菌丝：初期无色透明，后变为浅褐色至深褐色，具隔膜，直径 3–10 μm，分枝处呈直角。菌核：近球形、椭圆形或不规则形。"
BY004,稻曲病菌,病原体,"Ustilaginoidea virens (Cke,)Tak.","菌核：从分生孢子座生出，黑色，内部白色，长椭圆形，长2-20毫米，入土休眠后产生子座，橙黄色，头部球形或椭圆形，直径1-3毫米，有长柄达10毫米左右，头部外围生子囊壳。"
BY005,藤黑镰孢,病原体,"Fusarium fujikuroi Nirenberg","分生孢子：有大小两型，小分生孢子卵形或扁椭圆形，无色单胞，呈链状着生。大分生孢子：多为纺缍形或镰刀形，顶端较钝或粗细均匀。"
BY006,稻平脐蠕孢,病原体,"Helminthosporium oryzae Breda de Haan","分生孢子梗：3-5根丛生，屈曲状顶端有孢子着生的痕迹。分生孢子：呈棍棒形或长圆筒形，弯曲或不弯曲， 褐色，有3-11个隔膜。"
BY007,水稻白叶枯病原细菌,病原体,"Xanthomonas oryzae （Uyeda et Ishiyama）Dowson","菌细胞单生， 短杆状，两端钝圆，大小为0.5-0.8微米×1-2微米。"
BY008,水稻黑条矮缩病毒,病原体,"Rice black- streaked dwarf virus","病毒粒体为球状，直径为80-90纳米。"
BY009,南方水稻黑条矮缩病毒,病原体,"Southern Rice Black－streaked Dwarf Virus","病毒粒子呈二十面体的球状结构，直径约66-70纳米，无包膜，由双层外壳构成。"
BY010,谷枯叶点霉,病原体,"Phyllosticta glumarum (Ell. et Fr.) Miyake","分生孢子器:初埋生在病部表皮下，后全部外露仅基部留在病组织里，散生或群生，球形至扁球形，长48-133微米，宽40-95微米，黑褐色，基部黄褐色，顶端突起为孔口。分生孢子小，无色或色浅，单胞，卵形至椭圆形，大小3-6微米×2-3微米成熟后遇水可成群从孔口逸出。"
BY011,稻苗疫霉病原菌,病原体,"Phytophthora fragariae var. oryzo-bladis Wang.","孢囊梗2-5根，单生，偶有1-2回单轴分枝，长度可达405-675微米。游动孢子有肾脏形、洋梨形和椭圆形等形态。休止孢圆形，直径10.5-20微米。"
BY012,稻帚枝霉,病原体,"ACrocladiumoryzae（Sawada）W.Gams.etWebster","病部产生的分生孢子梗圆柱状，有1～2回分枝，每次分枝3～4根，在分枝顶端着生分生孢子。分生孢子单胞无色，圆柱形至椭圆形。"
BY013,狼尾草腥黑粉菌,病原体,"Tilletia horrida","厚垣孢子球形，黑色，大小为（25-32）微米×（23-30）微米，表面密生无色或淡色倒钩状的齿状突起。"
BY014,尖孢镰刀菌,病原体,"Fusarium oxysporum Schltdl.","菌丝：无色至淡色，丝状，有隔膜，直径 2–5 μm，分枝频繁，可形成疏松的絮状菌落。分生孢子：具大小两种类型，大型分生孢子镰刀形，略弯曲，无色。"
