start_id,end_id
D001,SZ001
D001,SZ002
D001,SZ003
D001,SZ004
D001,SZ005
D001,SZ007
D002,SZ001
D002,SZ002
D002,SZ003
D002,SZ004
D002,SZ005
D002,SZ007
D002,SZ008
D003,SZ001
D003,SZ002
D003,SZ004
D003,SZ005
D003,SZ007
D003,SZ008
D004,SZ001
D004,SZ004
D004,SZ005
D004,SZ008
D004,SZ009
D005,SZ001
D005,SZ002
D005,SZ005
D005,SZ008
D006,SZ001
D006,SZ002
D006,SZ003
D006,SZ004
D006,SZ008
D007,SZ001
D007,SZ002
D007,SZ003
D007,SZ004
D007,SZ005
D008,SZ001
D008,SZ002
D008,SZ003
D008,SZ004
D008,SZ005
D008,SZ008
D009,SZ001
D009,SZ002
D009,SZ003
D009,SZ004
D009,SZ005
D009,SZ008
D010,SZ001
D010,SZ002
D010,SZ005
D010,SZ007
D011,SZ001
D011,SZ002
D012,SZ002
D012,SZ004
D012,SZ005
D012,SZ011
D013,SZ004
D013,SZ009
D013,SZ001
D013,SZ002
D014,SZ001
D014,SZ002
D014,SZ003
D014,SZ005
D015,SZ002
D015,SZ003
D016,SZ002
D016,SZ003
