start_id,end_id
D002,QG003
D002,QG007
D002,QG004
D002,QG002
D001,QG003
D001,QG002
D001,QG004
D003,QG003
D003,QG002
D003,QG004
D004,QG004
D004,QG003
D005,QG001
D005,QG002
D005,QG004
D006,QG003
D006,QG008
D006,QG002
D006,QG004
D006,QG009
D007,QG003
D007,QG008
D007,QG002
D007,QG004
D008,QG003
D008,QG002
D008,QG010
D008,QG001
D008,QG004
D009,QG003
D009,QG002
D009,QG010
D009,QG001
D009,QG004
D010,QG004
D010,QG003
D010,QG002
D011,QG001
D011,QG002
D011,QG003
D011,QG011
D012,QG008
D012,QG003
D012,QG004
D013,QG009
D013,QG004
D013,QG012
D014,QG003
D014,QG004
D014,QG013
D015,QG001
D015,QG003
D015,QG002
D015,QG004
D016,QG001
D016,QG003
D016,QG002
D016,QG010
