start_id,end_id
RS001,PR09
RS001,PR11
RS001,PR12
RS001,PR29
RS002,PR26
RS003,PR13
RS003,PR11
RS004,PR06
RS004,PR07
RS004,PR08
RS004,PR15
RS004,PR16
RS004,PR14
RS005,PR21
RS005,PR24
RS005,PR14
RS005,PR16
RS005,PR22
RS006,PR10
RS006,PR15
RS006,PR07
RS006,PR09
RS006,PR11
RS007,PR25
RS007,PR24
RS007,PR15
RS008,PR24
RS008,PR25
RS008,PR26
RS009,PR20
RS009,PR24
RS009,PR28
RS010,PR01
RS010,PR05
RS010,PR17
RS011,PR01
RS011,PR05
RS011,PR17
RS011,PR08
RS011,PR14
RS011,PR21
RS012,PR04
RS012,PR03
RS012,PR18
RS013,PR02
RS013,PR03
RS013,PR04
RS013,PR18
RS014,PR23
RS014,PR19
RS014,PR22
RS014,PR17
RS015,PR23
RS016,PR19
RS016,PR21
RS016,PR17
RS016,PR22
RS016,PR18
